Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
4;20;Sorbonne;1;Apres 1990;non meublé;28.2;33.84;19.74;2021;PARIS;7510520
1;23;Notre-Dame-des-Champs;4;Avant 1946;meublé;32.2;38.64;22.54;2021;PARIS;7510623
2;24;Saint-Germain-des-Prés;3;1946-1970;non meublé;22.0;26.4;15.4;2021;PARIS;7510624
7;61;Auteuil;1;Avant 1946;non meublé;28.2;33.84;19.74;2021;PARIS;7511661
1;28;Gros-Caillou;2;Avant 1946;meublé;32.3;38.76;22.61;2021;PARIS;7510728
2;21;Monnaie;4;Avant 1946;non meublé;25.8;30.96;18.06;2021;PARIS;7510621
14;47;Bercy;4;Apres 1990;non meublé;21.3;25.56;14.91;2021;PARIS;7511247
9;70;Clignancourt;4;1971-1990;meublé;21.4;25.68;14.98;2021;PARIS;7511870
5;37;Saint-Vincent-de-Paul;2;Apres 1990;meublé;28.8;34.56;20.16;2021;PARIS;7511037
7;60;Javel 15Art;1;Apres 1990;meublé;30.3;36.36;21.21;2021;PARIS;7511560
5;36;Rochechouart;2;Avant 1946;non meublé;25.3;30.36;17.71;2021;PARIS;7510936
5;36;Rochechouart;2;1946-1970;non meublé;24.3;29.16;17.01;2021;PARIS;7510936
11;68;Epinettes;1;1971-1990;meublé;29.3;35.16;20.51;2021;PARIS;7511768
4;10;Enfants-Rouges;3;1946-1970;non meublé;21.9;26.28;15.33;2021;PARIS;7510310
5;52;Croulebarbe;1;Avant 1946;non meublé;29.6;35.52;20.72;2021;PARIS;7511352
2;34;Chaussée-d'Antin;2;1971-1990;non meublé;26.0;31.2;18.2;2021;PARIS;7510934
5;2;Halles;3;1971-1990;non meublé;21.3;25.6;14.9;2019;PARIS;7510102
2;5;Gaillon;4;1971-1990;non meublé;22.0;26.4;15.4;2019;PARIS;7510205
5;53;Montparnasse;4;1946-1970;meublé;23.7;28.4;16.6;2019;PARIS;7511453
2;5;Gaillon;3;1946-1970;non meublé;21.5;25.8;15.1;2019;PARIS;7510205
4;8;Bonne-Nouvelle;3;Apres 1990;non meublé;21.7;26.0;15.2;2019;PARIS;7510208
3;62;Muette;4;1946-1970;meublé;27.2;32.6;19.0;2019;PARIS;7511662
4;14;Saint-Gervais;2;Apres 1990;non meublé;25.4;30.5;17.8;2019;PARIS;7510414
4;17;Saint-Victor;1;Avant 1946;non meublé;30.6;36.7;21.4;2019;PARIS;7510517
10;67;Batignolles;1;1946-1970;meublé;27.2;32.6;19.0;2019;PARIS;7511767
4;12;Sainte-Avoie;3;1946-1970;meublé;24.2;29.0;16.9;2019;PARIS;7510312
12;51;Maison-Blanche;2;1971-1990;meublé;23.7;28.4;16.6;2019;PARIS;7511351
11;54;Parc-de-Montsouris;1;Avant 1946;non meublé;27.7;33.2;19.4;2019;PARIS;7511454
13;73;Villette;3;Apres 1990;meublé;21.1;25.3;14.8;2019;PARIS;7511973
5;35;Faubourg-Montmartre;2;Apres 1990;meublé;27.7;33.2;19.4;2019;PARIS;7510935
6;66;Plaine de Monceaux;3;Avant 1946;meublé;27.8;33.4;19.5;2019;PARIS;7511766
6;66;Plaine de Monceaux;2;1971-1990;meublé;27.8;33.4;19.5;2019;PARIS;7511766
1;28;Gros-Caillou;4;1946-1970;meublé;25.8;31.0;18.1;2019;PARIS;7510728
2;30;Faubourg-du-Roule;4;Apres 1990;meublé;29.8;35.8;20.9;2019;PARIS;7510830
2;34;Chaussée-d'Antin;4;1971-1990;non meublé;22.0;26.4;15.4;2019;PARIS;7510934
10;42;Saint-Ambroise;4;1971-1990;non meublé;21.6;25.9;15.1;2019;PARIS;7511142
11;40;Hôpital-Saint-Louis;4;1971-1990;meublé;22.7;27.2;15.9;2019;PARIS;7511040
13;74;Pont-de-Flandre;2;1971-1990;meublé;20.0;24.0;14.0;2019;PARIS;7511974
13;80;Charonne;1;1946-1970;meublé;25.2;30.2;17.6;2019;PARIS;7512080
5;36;Rochechouart;2;Apres 1990;meublé;27.7;33.2;19.4;2019;PARIS;7510936
2;29;Champs-Elysées;4;Avant 1946;non meublé;25.4;30.5;17.8;2019;PARIS;7510829
10;55;Petit-Montrouge;2;1946-1970;meublé;23.6;28.3;16.5;2019;PARIS;7511455
2;13;Saint-Merri;4;1971-1990;meublé;24.9;29.9;17.4;2019;PARIS;7510413
4;17;Saint-Victor;1;1971-1990;non meublé;29.1;34.9;20.4;2019;PARIS;7510517
10;49;Salpêtrière;1;Apres 1990;meublé;32.2;38.6;22.5;2019;PARIS;7511349
8;57;Saint-Lambert;1;Avant 1946;meublé;30.8;37.0;21.6;2019;PARIS;7511557
8;57;Saint-Lambert;1;Avant 1946;non meublé;27.3;32.8;19.1;2019;PARIS;7511557
2;1;St-Germain-l'Auxerrois;4;Apres 1990;meublé;29.8;35.8;20.9;2019;PARIS;7510101
4;8;Bonne-Nouvelle;3;1971-1990;non meublé;22.8;27.4;16.0;2019;PARIS;7510208
4;17;Saint-Victor;4;1946-1970;meublé;25.8;31.0;18.1;2019;PARIS;7510517
4;14;Saint-Gervais;3;Apres 1990;meublé;24.5;29.4;17.2;2019;PARIS;7510414
